Id,Pandal Name,Image Link,District,Locality,street,established,description,address,latitude,Maplink,website
27,Dharmaveer Mitra Mandal Ganpati Mandir,https://content.jdmagicbox.com/comp/mumbai/q6/020pxx20.xx20.191014211719.v9q6/catalogue/ajinkya-mitra-mandal-vadgaon-budruk-pune-temples-kn816979v7.jpg?clr=,Pune,Dhankawadi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","32/15/3, Shiv Colony, Dhankawadi, Pune, Maharashtra 411046","18.456447116939323, 73.84875730836649","https://www.google.com/maps/place/Dharmaveer+Mitra+Mandal+Ganpati+Mandir/@18.4563899,73.8481511,19z/data=!3m1!4b1!4m5!3m4!1s0x3bc2eac9714b6833:0x2e56e9f8dba3829c!8m2!3d18.4563995!4d73.8487366",NA
28,Azad Mitra Mandal,https://images.hindustantimes.com/rf/image_size_640x362/HT/p2/2018/09/19/Pictures/ht-pune_ac58d986-bbf9-11e8-aa2b-bfb0450a5721.JPG,Pune,Katraj,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","Sr. No. 70/1/1A/20/4, Azad Mitra Mandal, Lane No. 1, near Santoshi Mata Temple, Santosh Nagar, Katraj, Pune, 411046","18.443703651439755, 73.85621870711087","https://www.google.com/maps/place/Azad+Mitra+Mandal/@18.4451463,73.8553819,18z/data=!4m9!1m2!2m1!1sSr.+No.+70%2F1%2F1A%2F20%2F4,+Azad+Mitra+Mandal,+Lane+No.+1,+near+Santoshi+Mata+Temple,+Santosh+Nagar,+Katraj,+Pune,+411046!3m5!1s0x3bc2eada297a1aa5:0x76834337066e00ea!8m2!3d18.4436043!4d73.856214!15sCnNTci4gTm8uIDcwLzEvMUEvMjAvNCwgQXphZCBNaXRyYSBNYW5kYWwsIExhbmUgTm8uIDEsIG5lYXIgU2FudG9zaGkgTWF0YSBUZW1wbGUsIFNhbnRvc2ggTmFnYXIsIEthdHJhaiwgUHVuZSwgNDExMDQ2WmsiaXNyIG5vIDcwIDEgMWEgMjAgNCBhemFkIG1pdHJhIG1hbmRhbCBsYW5lIG5vIDEgbmVhciBzYW50b3NoaSBtYXRhIHRlbXBsZSBzYW50b3NoIG5hZ2FyIGthdHJhaiBwdW5lIDQxMTA0NpIBDGhpbmR1X3RlbXBsZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSUmR6UkVTMWhCRUFF4AEA",NA
29,Bharat Nagar Mitra Mandal (GANESH TEMPLE),https://lh3.googleusercontent.com/p/AF1QipNhPmYOoW4Mt_B_I1JzdaxEYzUhWdKPal58GE9z=s1600-w400,Pune,Katraj,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","CVM8+6V3, Sundar nagar, Katraj, Pune, Maharashtra 411046","18.433027755039646, 73.86717189678069","https://www.google.com/maps/place/7JCMCVM8%2B6V3/@18.4330176,73.8649832,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0xf7d0a4d21b5bafd!8m2!3d18.4330125!4d73.8671719",NA
30,Ganesh mandir lane no 5,https://www.revv.co.in/blogs/wp-content/uploads/2020/05/ganesh-chaturthi.jpeg,Pune,Kondhwa,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","Lane no 5 , Sr no 3 Ganesh mandir Dharmaveer shambhu raje mitra mandal, Laxmi Nagar, Kondhwa Budruk, Pune, Maharashtra 411048","18.459478662905894, 73.88578606979317","https://www.google.com/maps/place/Ganesh+mandir+lane+no+5/@18.4593413,73.883533,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2eb3445e67ff3:0xf70844f2c476465c!8m2!3d18.4593518!4d73.885803",NA
31,Kalyani Nagar Mitra Mandal Shri Ganesh Mandir,https://images.jdmagicbox.com/comp/pune/y9/020pxx20.xx20.181203191233.k7y9/catalogue/siddhivinayak-ganapati-mandir-yerawada-pune-temples-q8htcfbj14.jpg?clr=,Pune,Kalyani Nagar,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","GWW2+PM7, Opposite, Pluto Society, Nilanjali Society, Kalyani Nagar, behind PMC ground, Pune, 411006","18.547001591402086, 73.9017523986298","https://www.google.com/maps/place/Kalyani+Nagar+Mitra+Mandal+Shri+Ganesh+Mandir/@18.5467931,73.8994886,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2c1106d1c4ae7:0x1837d77bf3d90734!8m2!3d18.546788!4d73.9016773",NA
32,Dhole Patil Ganpati Mandir (Tarun Vikas Mandal),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwu3B0Y1MDgObROwuFfnTez002r2lQ1zAj0g&usqp=CAU,Pune,Sangamvadi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","Dhole Patil Rd, Sangamvadi, Pune, Maharashtra 411001","18.535060183005935, 73.87668721027607","https://www.google.com/maps/place/Dhole+Patil+Rd,+Sangamvadi,+Pune,+Maharashtra+411001/@18.5349534,73.8745307,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2c0f779fbdfc7:0x12b8da6e9e7ca0d0!8m2!3d18.5349483!4d73.8767194",NA
33,Uday Vikas Mitra Mandal Ganesh Mandir,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60,Pune,Khadki,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","34, Mumbai-Pune Road, Gopi Chawl, Bopodi, Khadki, Pune, Maharashtra 411003","18.567973820015496, 73.83905581187648","https://www.google.com/maps/search/34,+Mumbai-Pune+Road,+Gopi+Chawl,+Bopodi,+Khadki,+Pune,+Maharashtra+411003/@18.566255,73.8322323,16z/data=!3m1!4b1",NA
34,Shivdatta Ganesh Mandal Aundh,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60,Pune,Aundh,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","HR65+5C7, Shivdatta Ganesh Mandir Parihar Chowk, Aundh, Pune, Maharashtra 411007","18.560645645134944, 73.80874634465435","https://www.google.com/maps/place/Shivdatta+Ganesh+Mandal+Aundh/@18.560427,73.8063538,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2bf307699f47b:0x73b1a6e6bf1aa854!8m2!3d18.5604071!4d73.8085435",NA
35,Navjivan Samaj Seva Mandal Ganpati Mandir,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60,Pune,Shivaji nagar,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","101, Old Mumbai - Pune Hwy, Sphurti Society, Wakadewadi, Shivajinagar, Pune, Maharashtra 411003","18.54461604340419, 73.85114053030529","https://www.google.com/maps/place/Navjivan+Samaj+Seva+Mandal+Ganpati+Mandir/@18.5444467,73.8485888,16.75z/data=!4m5!3m4!1s0x3bc2c09a518dcf5f:0x30e237dc516161e!8m2!3d18.5443678!4d73.8511327",NA
36,Chivhe Aali Ganesh Mitra Mandal,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60,Pune,Mahalunge,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","HQG3+6RP, Mahalunge, Pune, Maharashtra 411045","18.575783481068505, 73.7546359897467","https://www.google.com/maps/place/Chivhe+Aali+Ganesh+Mitra+Mandal/@18.5755903,73.7503659,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2b9a54a8d7201:0xc6b50d0a5fa495c!8m2!3d18.5755903!4d73.7545931",NA
37,GURUDATTA MITRA MANDAL,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=60,Pune,Alandi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","MVCR+JJJ, Vishweshwar Nagar, Dehu Phata, Maharashtra 412105","18.671912076222092, 73.89157286936207","https://www.google.com/maps/place/GURUDATTA+MITRA+MANDAL/@18.671597,73.8893198,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2c96aadbb2dc3:0x3c7b0aa7eecbf308!8m2!3d18.6716424!4d73.8915299",NA
38,Deepjot Mitra Mandal Ganpati Temple,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=61,Pune,Hadapsar,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","GX58+J2, Deepak Nagar, Hadapsar, Pune, Maharashtra 412307","18.50928629080671, 73.96506015401712","https://www.google.com/maps/place/Deepjot+Mitra+Mandal+Ganpati+Temple/@18.509093,73.96285,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2c3c53f80553d:0x6643021a6cb84649!8m2!3d18.509093!4d73.9650387",NA
39,Subhash Tarun Mitra Mandal Ganpati mandir,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=62,Pune,Rasta Peth,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","GV98+8P7, Porwal Metallica, Rasta Peth, Pune, Maharashtra 411002","18.518478972721766, 73.86674985905505","https://www.google.com/maps/place/Subhash+Tarun+Mitra+Mandal+Ganpati+mandir/@18.5182959,73.8625656,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2c042b8f269f5:0xe1043b5f1d0b4043!8m2!3d18.5182972!4d73.8667928",NA
40,Naidu Ganpati Mandal,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=63,Pune,Rasta Peth,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","359, Porwal Metallica, Rasta Peth, Pune, Maharashtra 411011","18.51884417787654, 73.86668672514539","https://www.google.com/maps/place/Naidu+Ganpati+Mandal/@18.5187639,73.8649375,18z/data=!4m9!1m2!2m1!1s359,+Porwal+Metallica,+Rasta+Peth,+Pune,+Maharashtra+411011!3m5!1s0x3bc2c042b691e295:0x8741cde603ab3615!8m2!3d18.5187638!4d73.8666696!15sCjszNTksIFBvcndhbCBNZXRhbGxpY2EsIFJhc3RhIFBldGgsIFB1bmUsIE1haGFyYXNodHJhIDQxMTAxMVo5IjczNTkgcG9yd2FsIG1ldGFsbGljYSByYXN0YSBwZXRoIHB1bmUgbWFoYXJhc2h0cmEgNDExMDExkgEMaGluZHVfdGVtcGxlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5qT0ZCVFRIRm5SUkFC4AEA",NA
41,Anand Park Mitra mandal Ganpati temple,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=64,Pimpri-chinchwad,Thergaon,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","Unnamed Road Anand park, Thergaon, Pimpri-Chinchwad, Maharashtra 411033",,"https://www.google.co.in/maps/place/Anand+Park+Mitra+mandal+Ganpati+temple/@18.6169967,73.7673762,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2b99fa15ec74f:0xabe10922999eaf12!8m2!3d18.6169949!4d73.7695349?hl=en",NA
42,Suvarnayug mitra Mandal Ganapati Mandir,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=65,Pimpri-chinchwad,Nigdi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","226, Sector 27A, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044","18.650845053501556, 73.77645492306993","https://www.google.co.in/maps/place/Suvarnayug+mitra+Mandal+Ganapati+Mandir/@18.6502351,73.7386894,14z/data=!4m9!1m2!2m1!1sSuvarnayug+mitra+Mandal+Ganapati+Mandir!3m5!1s0x3bc2b9dd5ea8e2d1:0x96f01434f482d465!8m2!3d18.6502364!4d73.7716494!15sCidTdXZhcm5heXVnIG1pdHJhIE1hbmRhbCBHYW5hcGF0aSBNYW5kaXKSAQxoaW5kdV90ZW1wbGXgAQA?hl=en",NA
43,Shivganesh Mitra Mandal Trust,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=66,Pimpri-chinchwad,Akurdi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","JQWH+P8H, Ganga Nagar Rd, panchatara Nagar, Jijanagar, Ganga Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra 411035","18.647021200261868, 73.77936683614283","https://www.google.co.in/maps/place/Shivganesh+Mitra+Mandal+Trust/@18.646823,73.7761589,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2b9c461fd2143:0xaa5fd5dca727872b!8m2!3d18.6468455!4d73.7783684?hl=en",NA
44,Nilkanteshwar,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=67,Pimpri-chinchwad,Akurdi,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","Rupesh Colony, Dattawadi, Akurdi, Pimpri-Chinchwad, Maharashtra 411035","18.655733750801108, 73.77941452870327","https://www.google.co.in/maps/place/%E0%A4%A8%E0%A4%BF%E0%A4%B3%E0%A4%95%E0%A4%82%E0%A4%A0%E0%A5%87%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%8D%E0%A4%B5%E0%A4%B0+%E0%A4%AE%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%B0+%E0%A4%AE%E0%A4%82%E0%A4%A1%E0%A4%B3+(%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A4%BE%E0%A4%9A%E0%A4%BE+%E0%A4%97%E0%A4%A3%E0%A4%AA%E0%A4%A4%E0%A5%80)+%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A3%E0%A4%BF%E0%A4%A4+%E0%A4%A1%E0%A4%BF%E0%A4%AB%E0%A5%87%E0%A4%82%E0%A4%A1%E0%A4%B0+%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%8B%E0%A4%B0%E0%A5%8D%E0%A4%9F%E0%A4%B8+%E0%A4%95%E0%A5%8D%E0%A4%B2%E0%A4%AC,/@18.624422,73.7541204,13z/data=!4m9!1m2!2m1!1sRupesh+Colony,+Dattawadi,+Akurdi,+Pimpri-Chinchwad,+Maharashtra+411035!3m5!1s0x3bc2b9dbfa419b13:0x234ef0b26c4acdfe!8m2!3d18.6549722!4d73.7785873!15sCkZSdXBlc2ggQ29sb255LCBEYXR0YXdhZGksIEFrdXJkaSwgUGltcHJpLUNoaW5jaHdhZCwgTWFoYXJhc2h0cmEgNDExMDM1kgEMaGluZHVfdGVtcGxl4AEA?hl=en",NA
45,Dakshata Siddhivinayak Ganpati Mandir,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=68,Pimpri-chinchwad,Talwade,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","MQFJ+C4R, Rashtrabhushan Housing Society Rupeenagar, Post Office Road, Dakshata Tarun Mandal, Talwade, Pimpri-Chinchwad, Maharashtra 412114","18.701989822401313, 73.86826342639334","https://www.google.co.in/maps/place/Dakshata+Siddhivinayak+Ganpati+Mandir/@18.8456649,73.0250628,10z/data=!4m9!1m2!2m1!1sDakshata+Siddhivinayak+Ganpati+Mandir!3m5!1s0x3bc2b7630ebf625d:0xd74876d085e2d92!8m2!3d18.6736228!4d73.7802828!15sCiVEYWtzaGF0YSBTaWRkaGl2aW5heWFrIEdhbnBhdGkgTWFuZGlykgEMaGluZHVfdGVtcGxl4AEA?hl=en",NA
46,Navjyot Ganesh Mitra Mandal,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=69,Pimpri-chinchwad,Bhosari,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","Sr. No. 212/1/18, Dighi Rd, near Gayatri Travels, Adarsh Nagar, Bhosari, Pimpri-Chinchwad, Maharashtra 411039","18.62108326250411, 73.85361586923416","https://www.google.co.in/maps/place/Navjyot+Ganesh+Mitra+Mandal/@18.6209257,73.8508049,17z/data=!3m1!4b1!4m5!3m4!1s0x3bc2c7781ab5c52f:0x784086e384dd9332!8m2!3d18.6209451!4d73.8530004?hl=en",NA
47,Om Sai Mitra Mandal Saswad,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=70,Saswad,Sopan Nagar,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","922F+W95, Sopan Nagar, Saswad, Maharashtra 412301","18.352466150454852, 74.02344148143813","https://www.google.co.in/maps/place/7JCP922F%2BW95/@18.3522676,74.0212957,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x4e13e596f1bf7bbf!8m2!3d18.3522625!4d74.0234844?hl=en",NA
48,Amar ganesh utsav mandal,https://images.unsplash.com/photo-1599521318879-0fe35e838760?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8MTR8fGdhbnBhdGl8ZW58MHx8MHx8&auto=format&fit=crop&w=500&q=71,Saswad,Sopan Nagar,,NA,"The festival celebrates Ganesha as the God of New Beginnings and the Remover of Obstacles as well as the god of wisdom and intelligence and is observed throughout India, especially in the states such as Tamil Nadu, Maharashtra, Karnataka, Kerala, Andhra Pradesh and Goa.It is believed that devotees who pray to Ganesha are able to fulfil their wishes and desires. So, the main essence of Ganesh Chaturthi is that devotees who pray to him are set free of sins and it leads them on the path of knowledge and wisdom.","82VH+VPC, Amar Chowk, Saswad, Maharashtra 412301","18.37019144245801, 74.11014958456133","https://www.google.co.in/maps/place/%E0%A4%85%E0%A4%AE%E0%A4%B0+%E0%A4%97%E0%A4%A3%E0%A5%87%E0%A4%B6+%E0%A4%89%E0%A4%A4%E0%A5%8D%E0%A4%B8%E0%A4%B5+%E0%A4%AE%E0%A4%82%E0%A4%A1%E0%A4%B3+%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%9F/@18.1001966,73.3630793,9z/data=!4m9!1m2!2m1!1sAmar+ganesh+utsav+mandal!3m5!1s0x3bc2efa629a74d2f:0x42a4688f5aa6501!8m2!3d18.3446988!4d74.0292611!15sChhBbWFyIGdhbmVzaCB1dHNhdiBtYW5kYWySAQxoaW5kdV90ZW1wbGXgAQA?hl=en",NA
